,track_id,cluster
143,"Brown Skin GirlBeyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",59
144,OFF THE RIPDaBaby,36
145,24/7Meek Mill Featuring Ella Mai,57
146,What's The MoveYoung Thug Featuring Lil Uzi Vert,90
147,No IdeaDon Toliver,115
148,Heart On IceRod Wave,20
149,BoyfriendAriana Grande & Social House,111
150,Before I Let GoBeyonce,64
151,"ChinaAnuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",49
152,"SolteraLunay, Daddy Yankee & Bad Bunny",64
153,Out Of LuckLil Tecca,50
154,Love MeLil Tecca,72
155,Die For MePost Malone Featuring Future & Halsey,96
156,It All Comes Out In The WashMiranda Lambert,112
157,By My LonelyKevin Gates,96
158,Some Of ItEric Church,71
159,FallingTrevor Daniel,115
160,SuicidalYNW Melly,78
161,Walk Me HomeP!nk,92
162,All To MyselfDan + Shay,29
163,South Of The BorderEd Sheeran Featuring Camila Cabello & Cardi B,29
164,"Eastsidebenny blanco, Halsey & Khalid",9
165,Follow GodKanye West,111
166,Fear InoculumTool,92
167,Immortal21 Savage,111
168,Beautiful PeopleEd Sheeran Featuring Khalid,9
169,Call You MineThe Chainsmokers & Bebe Rexha,64
170,It's The Most Wonderful Time Of The YearAndy Williams,24
171,Feliz NavidadJose Feliciano,20
172,Like A RodeoKane Brown,23
173,You Need To Calm DownTaylor Swift,49
174,Into The UnknownPanic! At The Disco,79
175,I KnowPost Malone,49
176,Beauty In The BenzTory Lanez Featuring Snoop Dogg,115
177,Here Comes Santa Claus (Right Down Santa Claus Lane)Gene Autry,49
178,Christmas Tree FarmTaylor Swift,20
179,Make No SenseYoungBoy Never Broke Again,96
180,LoverTaylor Swift,9
181,Bad GuyBillie Eilish,25
182,Up All NightKhalid,29
183,Look At Her Now.Selena Gomez,96
184,Tip Of My TongueKenny Chesney,64
185,Big StepperRoddy Ricch,92
186,WoahLil Baby,25
187,Heartache MedicationJon Pardi,64
188,KinfolksSam Hunt,71
189,Ran$omLil Tecca,57
