,track_id,cluster,peak_pos,artist,track
0,"AdictoTainy, Anuel AA & Ozuna",91,86.0,"Tainy, Anuel AA & Ozuna",Adicto
1,The Ones That Didn't Make It Back HomeJustin Moore,1,100.0,Justin Moore,The Ones That Didn't Make It Back Home
2,ShallowLady Gaga & Bradley Cooper,85,28.0,Lady Gaga & Bradley Cooper,Shallow
4,EnemiesPost Malone Featuring DaBaby,79,16.0,Post Malone Featuring DaBaby,Enemies
5,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",86,94.0,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again
7,The ArcherTaylor Swift,26,69.0,Taylor Swift,The Archer
8,VIBEZDaBaby,36,21.0,DaBaby,VIBEZ
9,When I Grow UpNF,15,78.0,NF,When I Grow Up
10,Hollywood's BleedingPost Malone,58,15.0,Post Malone,Hollywood's Bleeding
11,What Happens In A Small TownBrantley Gilbert + Lindsay Ell,48,97.0,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town
12,Famous HoesNLE Choppa,18,83.0,NLE Choppa,Famous Hoes
13,Cornelia StreetTaylor Swift,30,57.0,Taylor Swift,Cornelia Street
14,HeatChris Brown Featuring Gunna,44,77.0,Chris Brown Featuring Gunna,Heat
15,Te RobareNicky Jam X Ozuna,1,95.0,Nicky Jam X Ozuna,Te Robare
17,Yellow HeartsAnt Saunders,45,81.0,Ant Saunders,Yellow Hearts
18,Make It RightBTS Featuring Lauv,112,76.0,BTS Featuring Lauv,Make It Right
19,TimeNF,28,92.0,NF,Time
20,Cuban LinksRod Wave & Kevin Gates,24,95.0,Rod Wave & Kevin Gates,Cuban Links
21,PetaRoddy Ricch Featuring Meek Mill,15,72.0,Roddy Ricch Featuring Meek Mill,Peta
22,INTRODaBaby,21,17.0,DaBaby,INTRO
23,Don't Check On MeChris Brown Featuring Justin Bieber & Ink,48,67.0,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me
24,Dance MonkeyTones And I,35,96.0,Tones And I,Dance Monkey
25,HeartlessThe Weeknd,93,32.0,The Weeknd,Heartless
26,"Break Up With Your Girlfriend, I'm BoredAriana Grande",82,2.0,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored"
27,"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",87,55.0,"DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL
28,Miss Americana & The Heartbreak PrinceTaylor Swift,92,49.0,Taylor Swift,Miss Americana & The Heartbreak Prince
29,Prayed For YouMatt Stell,35,99.0,Matt Stell,Prayed For You
30,GoldenHarry Styles,35,86.0,Harry Styles,Golden
31,Bad Bad BadYoung Thug Featuring Lil Baby,76,32.0,Young Thug Featuring Lil Baby,Bad Bad Bad
33,Watermelon SugarHarry Styles,21,92.0,Harry Styles,Watermelon Sugar
34,Drunk Dialing...LODTSummer Walker,1,79.0,Summer Walker,Drunk Dialing...LODT
35,Better TogetherLuke Combs,0,72.0,Luke Combs,Better Together
36,TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,35,98.0,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway
37,LivingDierks Bentley,81,82.0,Dierks Bentley,Living
38,"SomebodyInternet Money, Lil Tecca & A Boogie Wit da Hoodie",21,97.0,"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody
39,TapNAV Featuring Meek Mill,76,95.0,NAV Featuring Meek Mill,Tap
41,Hate MeEllie Goulding & Juice WRLD,49,82.0,Ellie Goulding & Juice WRLD,Hate Me
42,The ManTaylor Swift,82,23.0,Taylor Swift,The Man
43,Valentino24kGoldn,3,92.0,24kGoldn,Valentino
44,RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,1,100.0,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)
45,HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,1,95.0,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless
46,TrampolineSHAED,83,99.0,SHAED,Trampoline
48,God's CountryBlake Shelton,48,59.0,Blake Shelton,God's Country
50,Without MeHalsey,93,18.0,Halsey,Without Me
52,Easier5 Seconds Of Summer,58,48.0,5 Seconds Of Summer,Easier
54,Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,112,91.0,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower
55,Que PretendesJ Balvin & Bad Bunny,81,99.0,J Balvin & Bad Bunny,Que Pretendes
56,FallingHarry Styles,28,62.0,Harry Styles,Falling
57,HIGHEST IN THE ROOMTravis Scott,73,1.0,Travis Scott,HIGHEST IN THE ROOM
58,Nice To Meet YaNiall Horan,119,90.0,Niall Horan,Nice To Meet Ya
59,Just How It IsYoung Thug,97,60.0,Young Thug,Just How It Is
60,All I Want For Christmas Is YouMariah Carey,28,83.0,Mariah Carey,All I Want For Christmas Is You
62,SenoritaShawn Mendes & Camila Cabello,82,2.0,Shawn Mendes & Camila Cabello,Senorita
63,InternetPost Malone,99,58.0,Post Malone,Internet
64,BabyLil Baby & DaBaby,36,42.0,Lil Baby & DaBaby,Baby
65,TOESDaBaby Featuring Lil Baby & Moneybagg Yo,18,28.0,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES
66,OmertaDrake,0,35.0,Drake,Omerta
67,Club ParadiseDrake,95,85.0,Drake,Club Paradise
68,La CancionJ Balvin & Bad Bunny,69,98.0,J Balvin & Bad Bunny,La Cancion
69,La La LandBryce Vine Featuring YG,73,92.0,Bryce Vine Featuring YG,La La Land
71,How Do You Sleep?Sam Smith,93,29.0,Sam Smith,How Do You Sleep?
72,AfterglowTaylor Swift,45,75.0,Taylor Swift,Afterglow
73,"Costa RicaDreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",0,75.0,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",Costa Rica
74,Sleigh RideThe Ronettes,116,43.0,The Ronettes,Sleigh Ride
76,Rockin' Around The Christmas TreeBrenda Lee,43,89.0,Brenda Lee,Rockin' Around The Christmas Tree
78,Rich As HellYoungBoy Never Broke Again,87,100.0,YoungBoy Never Broke Again,Rich As Hell
79,Doin' TimeLana Del Rey,93,59.0,Lana Del Rey,Doin' Time
80,AllergicPost Malone,58,37.0,Post Malone,Allergic
81,Lucid DreamsJuice WRLD,28,74.0,Juice WRLD,Lucid Dreams
83,The MotionDrake,28,61.0,Drake,The Motion
84,Don't Start NowDua Lipa,83,30.0,Dua Lipa,Don't Start Now
85,Jesus Is LordKanye West,67,63.0,Kanye West,Jesus Is Lord
86,I Don't Know About YouChris Lane,35,98.0,Chris Lane,I Don't Know About You
87,The Git UpBlanco Brown,93,66.0,Blanco Brown,The Git Up
89,"Writing On The WallFrench Montana Featuring Post Malone, Cardi B & Rvssian",93,56.0,"French Montana Featuring Post Malone, Cardi B & Rvssian",Writing On The Wall
90,A Thousand Bad TimesPost Malone,81,29.0,Post Malone,A Thousand Bad Times
91,Look Back At ItA Boogie Wit da Hoodie,3,95.0,A Boogie Wit da Hoodie,Look Back At It
93,CamelotNLE Choppa,76,40.0,NLE Choppa,Camelot
94,GraveyardHalsey,116,45.0,Halsey,Graveyard
95,Beer Never Broke My HeartLuke Combs,49,68.0,Luke Combs,Beer Never Broke My Heart
97,POP STARDaBaby Featuring Kevin Gates,83,49.0,DaBaby Featuring Kevin Gates,POP STAR
98,Talk You Out Of ItFlorida Georgia Line,48,80.0,Florida Georgia Line,Talk You Out Of It
100,Good As YouKane Brown,24,95.0,Kane Brown,Good As You
102,Cash ShitMegan Thee Stallion Featuring DaBaby,24,98.0,Megan Thee Stallion Featuring DaBaby,Cash Shit
103,Sup MateYoung Thug Featuring Future,55,70.0,Young Thug Featuring Future,Sup Mate
104,Love Me MoreTrippie Redd,36,81.0,Trippie Redd,Love Me More
105,All Day LongChance The Rapper Featuring John Legend,35,94.0,Chance The Rapper Featuring John Legend,All Day Long
106,BOPDaBaby,119,19.0,DaBaby,BOP
107,It's YouAli Gatie,26,97.0,Ali Gatie,It's You
108,One Thing RightMarshmello & Kane Brown,116,57.0,Marshmello & Kane Brown,One Thing Right
109,Hands OnKanye West Featuring Fred Hammond,48,60.0,Kanye West Featuring Fred Hammond,Hands On
110,The BonesMaren Morris,15,100.0,Maren Morris,The Bones
111,Days In The EastDrake,57,95.0,Drake,Days In The East
112,Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd,76,85.0,XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes Forever
113,On ChillWale Featuring Jeremih,87,86.0,Wale Featuring Jeremih,On Chill
114,Sanguine ParadiseLil Uzi Vert,69,94.0,Lil Uzi Vert,Sanguine Paradise
116,Hot NowYoungBoy Never Broke Again,65,66.0,YoungBoy Never Broke Again,Hot Now
117,"EarfquakeTyler, The Creator",82,13.0,"Tyler, The Creator",Earfquake
119,One Man BandOld Dominion,49,91.0,Old Dominion,One Man Band
120,MEGATRONNicki Minaj,82,100.0,Nicki Minaj,MEGATRON
121,Racks In The MiddleNipsey Hussle Featuring Roddy Ricch & Hit-Boy,44,99.0,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle
123,A Holly Jolly ChristmasBurl Ives,18,48.0,Burl Ives,A Holly Jolly Christmas
125,CallaitaBad Bunny & Tainy,108,69.0,Bad Bunny & Tainy,Callaita
127,Sicko ModeTravis Scott,74,4.0,Travis Scott,Sicko Mode
128,Do You RememberChance The Rapper Featuring Death Cab For Cutie,92,95.0,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember
129,Rudolph The Red-Nosed ReindeerGene Autry,1,44.0,Gene Autry,Rudolph The Red-Nosed Reindeer
131,Whiskey GlassesMorgan Wallen,92,85.0,Morgan Wallen,Whiskey Glasses
133,We WereKeith Urban,82,99.0,Keith Urban,We Were
134,Hot Girl Bummerblackbear,83,91.0,blackbear,Hot Girl Bummer
135,XXLDaBaby,113,69.0,DaBaby,XXL
136,LiarCamila Cabello,97,56.0,Camila Cabello,Liar
137,Hate MeTrippie Redd Featuring YoungBoy Never Broke Again,36,84.0,Trippie Redd Featuring YoungBoy Never Broke Again,Hate Me
138,Paper RingsTaylor Swift,81,45.0,Taylor Swift,Paper Rings
139,REALLYDaBaby Featuring Stunna 4 Vegas,105,63.0,DaBaby Featuring Stunna 4 Vegas,REALLY
140,everything i wantedBillie Eilish,11,74.0,Billie Eilish,everything i wanted
141,JuicyDoja Cat & Tyga,93,83.0,Doja Cat & Tyga,Juicy
142,Lil BabyYoung Thug,76,84.0,Young Thug,Lil Baby
144,When The Party's OverBillie Eilish,79,95.0,Billie Eilish,When The Party's Over
146,Love Ain'tEli Young Band,49,81.0,Eli Young Band,Love Ain't
148,Good As HellLizzo,119,52.0,Lizzo,Good As Hell
149,Wow.Post Malone,76,47.0,Post Malone,Wow.
151,Queen Of MeanSarah Jeffery,82,67.0,Sarah Jeffery,Queen Of Mean
152,MotivationNormani,24,33.0,Normani,Motivation
153,Right BackKhalid Featuring A Boogie Wit da Hoodie,37,81.0,Khalid Featuring A Boogie Wit da Hoodie,Right Back
154,7 RingsAriana Grande,3,1.0,Ariana Grande,7 Rings
155,"Night FallsDove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",49,84.0,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",Night Falls
156,"The LondonYoung Thug, J. Cole & Travis Scott",93,12.0,"Young Thug, J. Cole & Travis Scott",The London
158,HappierMarshmello & Bastille,87,63.0,Marshmello & Bastille,Happier
160,Who Needs LoveTrippie Redd,119,58.0,Trippie Redd,Who Needs Love
161,Miss Me MoreKelsea Ballerini,24,95.0,Kelsea Ballerini,Miss Me More
163,CloutOffset Featuring Cardi B,97,72.0,Offset Featuring Cardi B,Clout
165,Knockin' BootsLuke Bryan,15,94.0,Luke Bryan,Knockin' Boots
167,Never Really OverKaty Perry,45,15.0,Katy Perry,Never Really Over
169,Jingle Bell RockBobby Helms,65,99.0,Bobby Helms,Jingle Bell Rock
171,We BackJason Aldean,15,93.0,Jason Aldean,We Back
172,CandyDoja Cat,82,87.0,Doja Cat,Candy
173,TalkKhalid,15,44.0,Khalid,Talk
175,Adore YouHarry Styles,97,35.0,Harry Styles,Adore You
176,Please MeCardi B & Bruno Mars,93,5.0,Cardi B & Bruno Mars,Please Me
177,I Forgot That You ExistedTaylor Swift,71,28.0,Taylor Swift,I Forgot That You Existed
178,EasyDaniLeigh Featuring Chris Brown,49,91.0,DaniLeigh Featuring Chris Brown,Easy
179,High HopesPanic! At The Disco,82,98.0,Panic! At The Disco,High Hopes
181,Worth ItYK Osiris,82,87.0,YK Osiris,Worth It
183,"Brown Skin GirlBeyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",1,76.0,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Brown Skin Girl
184,OFF THE RIPDaBaby,42,47.0,DaBaby,OFF THE RIP
185,24/7Meek Mill Featuring Ella Mai,1,97.0,Meek Mill Featuring Ella Mai,24/7
187,What's The MoveYoung Thug Featuring Lil Uzi Vert,80,55.0,Young Thug Featuring Lil Uzi Vert,What's The Move
188,No IdeaDon Toliver,113,68.0,Don Toliver,No Idea
189,Heart On IceRod Wave,119,56.0,Rod Wave,Heart On Ice
190,BoyfriendAriana Grande & Social House,49,8.0,Ariana Grande & Social House,Boyfriend
191,Before I Let GoBeyonce,28,75.0,Beyonce,Before I Let Go
193,"ChinaAnuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",62,52.0,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China
194,"SolteraLunay, Daddy Yankee & Bad Bunny",100,73.0,"Lunay, Daddy Yankee & Bad Bunny",Soltera
196,Out Of LuckLil Tecca,78,80.0,Lil Tecca,Out Of Luck
197,Love MeLil Tecca,6,97.0,Lil Tecca,Love Me
198,Die For MePost Malone Featuring Future & Halsey,11,20.0,Post Malone Featuring Future & Halsey,Die For Me
199,It All Comes Out In The WashMiranda Lambert,87,70.0,Miranda Lambert,It All Comes Out In The Wash
200,By My LonelyKevin Gates,65,86.0,Kevin Gates,By My Lonely
201,Some Of ItEric Church,79,76.0,Eric Church,Some Of It
203,FallingTrevor Daniel,119,75.0,Trevor Daniel,Falling
204,SuicidalYNW Melly,45,64.0,YNW Melly,Suicidal
205,Walk Me HomeP!nk,73,89.0,P!nk,Walk Me Home
207,All To MyselfDan + Shay,107,96.0,Dan + Shay,All To Myself
209,South Of The BorderEd Sheeran Featuring Camila Cabello & Cardi B,48,53.0,Ed Sheeran Featuring Camila Cabello & Cardi B,South Of The Border
210,"Eastsidebenny blanco, Halsey & Khalid",21,16.0,"benny blanco, Halsey & Khalid",Eastside
211,Follow GodKanye West,104,7.0,Kanye West,Follow God
213,Fear InoculumTool,70,93.0,Tool,Fear Inoculum
214,Immortal21 Savage,37,55.0,21 Savage,Immortal
215,Beautiful PeopleEd Sheeran Featuring Khalid,15,26.0,Ed Sheeran Featuring Khalid,Beautiful People
216,Call You MineThe Chainsmokers & Bebe Rexha,85,67.0,The Chainsmokers & Bebe Rexha,Call You Mine
218,It's The Most Wonderful Time Of The YearAndy Williams,10,49.0,Andy Williams,It's The Most Wonderful Time Of The Year
220,Feliz NavidadJose Feliciano,116,44.0,Jose Feliciano,Feliz Navidad
222,Like A RodeoKane Brown,93,90.0,Kane Brown,Like A Rodeo
223,You Need To Calm DownTaylor Swift,71,2.0,Taylor Swift,You Need To Calm Down
224,Into The UnknownPanic! At The Disco,82,98.0,Panic! At The Disco,Into The Unknown
225,I KnowPost Malone,72,53.0,Post Malone,I Know
226,Beauty In The BenzTory Lanez Featuring Snoop Dogg,55,87.0,Tory Lanez Featuring Snoop Dogg,Beauty In The Benz
227,Here Comes Santa Claus (Right Down Santa Claus Lane)Gene Autry,76,48.0,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
229,Christmas Tree FarmTaylor Swift,86,59.0,Taylor Swift,Christmas Tree Farm
230,Make No SenseYoungBoy Never Broke Again,76,57.0,YoungBoy Never Broke Again,Make No Sense
231,LoverTaylor Swift,81,19.0,Taylor Swift,Lover
232,Bad GuyBillie Eilish,79,7.0,Billie Eilish,Bad Guy
234,Up All NightKhalid,58,89.0,Khalid,Up All Night
235,Look At Her Now.Selena Gomez,40,27.0,Selena Gomez,Look At Her Now.
236,Tip Of My TongueKenny Chesney,15,83.0,Kenny Chesney,Tip Of My Tongue
237,Big StepperRoddy Ricch,73,98.0,Roddy Ricch,Big Stepper
238,WoahLil Baby,83,19.0,Lil Baby,Woah
239,Heartache MedicationJon Pardi,35,84.0,Jon Pardi,Heartache Medication
240,KinfolksSam Hunt,116,64.0,Sam Hunt,Kinfolks
241,Ran$omLil Tecca,1,93.0,Lil Tecca,Ran$om
243,Stuck In A DreamLil Mosey x Gunna,1,93.0,Lil Mosey x Gunna,Stuck In A Dream
244,Rescue MeMarshmello Featuring A Day To Remember,55,92.0,Marshmello Featuring A Day To Remember,Rescue Me
245,Nobody But YouBlake Shelton Duet With Gwen Stefani,79,79.0,Blake Shelton Duet With Gwen Stefani,Nobody But You
246,Pure WaterMustard & Migos,24,81.0,Mustard & Migos,Pure Water
248,Small TalkKaty Perry,40,81.0,Katy Perry,Small Talk
249,PressCardi B,36,16.0,Cardi B,Press
251,223'sYNW Melly & 9lokknine,73,87.0,YNW Melly & 9lokknine,223's
252,homecoming queen?Kelsea Ballerini,107,89.0,Kelsea Ballerini,homecoming queen?
253,Dancing With A StrangerSam Smith & Normani,71,33.0,Sam Smith & Normani,Dancing With A Stranger
255,"Otro TragoSech, Darell, Nicky Jam, Ozuna & Anuel AA",30,81.0,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago
256,Just UsDJ Khaled Featuring SZA,81,43.0,DJ Khaled Featuring SZA,Just Us
258,Every HourKanye West Featuring Sunday Service Choir,42,45.0,Kanye West Featuring Sunday Service Choir,Every Hour
259,SouthboundCarrie Underwood,48,96.0,Carrie Underwood,Southbound
260,Only HumanJonas Brothers,83,100.0,Jonas Brothers,Only Human
262,LoyalPARTYNEXTDOOR Featuring Drake,15,63.0,PARTYNEXTDOOR Featuring Drake,Loyal
263,"10,000 HoursDan + Shay & Justin Bieber",1,4.0,Dan + Shay & Justin Bieber,"10,000 Hours"
264,RumorLee Brice,15,88.0,Lee Brice,Rumor
266,SurfYoung Thug Featuring Gunna,83,61.0,Young Thug Featuring Gunna,Surf
267,My Oh MyCamila Cabello Featuring DaBaby,71,82.0,Camila Cabello Featuring DaBaby,My Oh My
268,Trust IssuesDrake,103,58.0,Drake,Trust Issues
269,The Christmas Song (Merry Christmas To You)Nat King Cole,24,100.0,Nat King Cole,The Christmas Song (Merry Christmas To You)
271,6 KissTrippie Redd Featuring Juice WRLD & YNW Melly,15,60.0,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss
272,What She Wants TonightLuke Bryan,49,93.0,Luke Bryan,What She Wants Tonight
273,"Baguettes In The FaceMustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",21,95.0,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",Baguettes In The Face
274,ME!Taylor Swift Featuring Brendon Urie,24,100.0,Taylor Swift Featuring Brendon Urie,ME!
276,There He GoDaBaby,36,89.0,DaBaby,There He Go
277,Going BadMeek Mill Featuring Drake,116,6.0,Meek Mill Featuring Drake,Going Bad
279,Won't Be LateSwae Lee Featuring Drake,0,75.0,Swae Lee Featuring Drake,Won't Be Late
280,Jerry SprungerTory Lanez & T-Pain,44,83.0,Tory Lanez & T-Pain,Jerry Sprunger
281,Like It's ChristmasJonas Brothers,93,72.0,Jonas Brothers,Like It's Christmas
282,Big Boy DiamondsGucci Mane Featuring Kodak Black & London On Da Track,10,100.0,Gucci Mane Featuring Kodak Black & London On Da Track,Big Boy Diamonds
283,JuiceLizzo,79,100.0,Lizzo,Juice
285,Into The UnknownIdina Menzel & AURORA,79,55.0,Idina Menzel & AURORA,Into The Unknown
286,Carter SonYoungBoy Never Broke Again,78,62.0,YoungBoy Never Broke Again,Carter Son
287,BLOWEd Sheeran With Chris Stapleton & Bruno Mars,35,60.0,Ed Sheeran With Chris Stapleton & Bruno Mars,BLOW
288,SanctuaryJoji,3,80.0,Joji,Sanctuary
289,Saint-TropezPost Malone,1,18.0,Post Malone,Saint-Tropez
290,Best Part Of MeEd Sheeran Featuring YEBBA,69,99.0,Ed Sheeran Featuring YEBBA,Best Part Of Me
291,Staring At The SunPost Malone Featuring SZA,107,34.0,Post Malone Featuring SZA,Staring At The Sun
292,Truth HurtsLizzo,21,50.0,Lizzo,Truth Hurts
294,Wish WishDJ Khaled Featuring Cardi B & 21 Savage,48,98.0,DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish
296,F.NLil Tjay,1,93.0,Lil Tjay,F.N
297,Mood SwingsA Boogie Wit da Hoodie,58,76.0,A Boogie Wit da Hoodie,Mood Swings
298,Self ControlYoungBoy Never Broke Again,49,68.0,YoungBoy Never Broke Again,Self Control
299,Dirty IyannaYoungBoy Never Broke Again,80,67.0,YoungBoy Never Broke Again,Dirty Iyanna
300,BetterKhalid,19,45.0,Khalid,Better
302,Cross MeEd Sheeran Featuring Chance The Rapper & PnB Rock,97,34.0,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me
304,"Don't Call Me Angel (Charlie's Angels)Ariana Grande, Miley Cyrus & Lana Del Rey",1,13.0,"Ariana Grande, Miley Cyrus & Lana Del Rey",Don't Call Me Angel (Charlie's Angels)
305,Blinding LightsThe Weeknd,93,11.0,The Weeknd,Blinding Lights
306,Light It UpYoung Thug,35,82.0,Young Thug,Light It Up
307,Wake UpTravis Scott,44,89.0,Travis Scott,Wake Up
309,Look What God Gave HerThomas Rhett,107,52.0,Thomas Rhett,Look What God Gave Her
311,In ControlYoungBoy Never Broke Again,116,73.0,YoungBoy Never Broke Again,In Control
312,Take What You WantPost Malone Featuring Ozzy Osbourne & Travis Scott,19,8.0,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want
313,Buy My Own DrinksRunaway June,97,90.0,Runaway June,Buy My Own Drinks
314,PROLLY HEARDDaBaby,36,73.0,DaBaby,PROLLY HEARD
315,"Loco ContigoDJ Snake, J. Balvin & Tyga",83,96.0,"DJ Snake, J. Balvin & Tyga",Loco Contigo
316,MyselfPost Malone,119,52.0,Post Malone,Myself
317,LalalaY2K & bbno$,40,94.0,Y2K & bbno$,Lalala
318,BodySummer Walker,24,73.0,Summer Walker,Body
319,Con CalmaDaddy Yankee & Katy Perry Featuring Snow,24,95.0,Daddy Yankee & Katy Perry Featuring Snow,Con Calma
321,Good VibesChris Janson,31,90.0,Chris Janson,Good Vibes
322,Gold RosesRick Ross Featuring Drake,20,39.0,Rick Ross Featuring Drake,Gold Roses
323,London BoyTaylor Swift,82,62.0,Taylor Swift,London Boy
324,HomesickKane Brown,97,95.0,Kane Brown,Homesick
325,Lights UpHarry Styles,71,77.0,Harry Styles,Lights Up
326,Lord AboveFat Joe & Dre Featuring Eminem & Mary J. Blige,2,97.0,Fat Joe & Dre Featuring Eminem & Mary J. Blige,Lord Above
327,WaterKanye West Featuring Ant Clemons,107,51.0,Kanye West Featuring Ant Clemons,Water
328,Hell RightBlake Shelton Featuring Trace Adkins,97,99.0,Blake Shelton Featuring Trace Adkins,Hell Right
329,In My RoomFrank Ocean,84,85.0,Frank Ocean,In My Room
330,PotentialSummer Walker,21,92.0,Summer Walker,Potential
331,Middle ChildJ. Cole,87,26.0,J. Cole,Middle Child
333,Mac 10Trippie Redd Featuring Lil Baby & Lil Duke,43,64.0,Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10
334,Mother's DaughterMiley Cyrus,0,83.0,Miley Cyrus,Mother's Daughter
336,SheHarry Styles,117,99.0,Harry Styles,She
337,NightmareHalsey,44,15.0,Halsey,Nightmare
339,No GuidanceChris Brown Featuring Drake,115,9.0,Chris Brown Featuring Drake,No Guidance
341,Snake SkinTrippie Redd,49,87.0,Trippie Redd,Snake Skin
342,Futsal Shuffle 2020Lil Uzi Vert,15,5.0,Lil Uzi Vert,Futsal Shuffle 2020
343,Remember The NameEd Sheeran Featuring Eminem & 50 Cent,97,57.0,Ed Sheeran Featuring Eminem & 50 Cent,Remember The Name
344,BanditJuice WRLD & YoungBoy Never Broke Again,82,11.0,Juice WRLD & YoungBoy Never Broke Again,Bandit
345,GoodbyesPost Malone Featuring Young Thug,21,3.0,Post Malone Featuring Young Thug,Goodbyes
346,SelahKanye West,78,19.0,Kanye West,Selah
347,Rearview TownJason Aldean,83,97.0,Jason Aldean,Rearview Town
349,Babushka BoiA$AP Rocky,49,69.0,A$AP Rocky,Babushka Boi
350,Summer DaysMartin Garrix Featuring Macklemore & Patrick Stump,78,100.0,Martin Garrix Featuring Macklemore & Patrick Stump,Summer Days
351,I Don't CareEd Sheeran & Justin Bieber,0,2.0,Ed Sheeran & Justin Bieber,I Don't Care
353,Stretch You OutSummer Walker Featuring A Boogie Wit da Hoodie,36,68.0,Summer Walker Featuring A Boogie Wit da Hoodie,Stretch You Out
354,LegendsJuice WRLD,24,94.0,Juice WRLD,Legends
356,Start Wit MeRoddy Ricch & Gunna,119,75.0,Roddy Ricch & Gunna,Start Wit Me
357,UnoAmbjaay,104,82.0,Ambjaay,Uno
358,False GodTaylor Swift,93,77.0,Taylor Swift,False God
359,Baby SitterDaBaby Featuring Offset,58,93.0,DaBaby Featuring Offset,Baby Sitter
360,"Under The SunDreamville Featuring J. Cole, Lute & DaBaby",93,44.0,"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun
361,"Hot Girl SummerMegan Thee Stallion, Nicki Minaj & Ty Dolla $ign",15,11.0,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer
362,"Let It Snow, Let It Snow, Let It SnowDean Martin",6,41.0,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
364,Time I'm OnYoungBoy Never Broke Again,24,79.0,YoungBoy Never Broke Again,Time I'm On
365,TusaKarol G & Nicki Minaj,93,95.0,Karol G & Nicki Minaj,Tusa
366,Someone You LovedLewis Capaldi,116,85.0,Lewis Capaldi,Someone You Loved
368,PaniniLil Nas X,42,16.0,Lil Nas X,Panini
369,EmptyJuice WRLD,108,87.0,Juice WRLD,Empty
371,Ridin' RoadsDustin Lynch,97,88.0,Dustin Lynch,Ridin' Roads
372,Single AgainBig Sean,87,64.0,Big Sean,Single Again
373,Closed On SundayKanye West,10,17.0,Kanye West,Closed On Sunday
374,Lonely ChildYoungBoy Never Broke Again,85,44.0,YoungBoy Never Broke Again,Lonely Child
375,Soon You'll Get BetterTaylor Swift Featuring Dixie Chicks,1,63.0,Taylor Swift Featuring Dixie Chicks,Soon You'll Get Better
376,ShamelessCamila Cabello,0,60.0,Camila Cabello,Shameless
377,"No Me ConoceJhay Cortez, J Balvin & Bad Bunny",32,95.0,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce
378,What If I Never Get Over YouLady Antebellum,97,99.0,Lady Antebellum,What If I Never Get Over You
380,Let Me Know (I Wonder Why Freestyle)Juice WRLD,85,78.0,Juice WRLD,Let Me Know (I Wonder Why Freestyle)
381,God IsKanye West,104,36.0,Kanye West,God Is
383,GIRLMaren Morris,80,96.0,Maren Morris,GIRL
385,Did It AgainLil Tecca,42,100.0,Lil Tecca,Did It Again
386,Last ChristmasWham!,100,50.0,Wham!,Last Christmas
390,RAW SHITDaBaby Featuring Migos,85,51.0,DaBaby Featuring Migos,RAW SHIT
